t_sec,x_m,y_m,z_m,rx_rad,ry_rad,rz_rad
0.408776,0.424820,0.107577,0.158152,2.760939,0.302559,0.798760
0.411913,0.424666,0.107360,0.158247,2.762819,0.296667,0.799757
0.414998,0.424559,0.107170,0.158277,2.765083,0.291355,0.800247
0.418724,0.424421,0.106885,0.158292,2.767464,0.286361,0.801203
0.421773,0.424301,0.106636,0.158375,2.765952,0.289228,0.799619
0.424998,0.424133,0.106371,0.158396,2.769310,0.280077,0.800581
0.428950,0.423946,0.106146,0.158490,2.769709,0.279255,0.798708
0.431941,0.423739,0.105829,0.158541,2.772666,0.271213,0.798396
0.435211,0.423531,0.105609,0.158699,2.771253,0.271772,0.797515
0.438434,0.423303,0.105273,0.158790,2.775580,0.258277,0.799775
0.447430,0.423082,0.104998,0.158933,2.775717,0.253419,0.800611
0.455769,0.422734,0.104526,0.159044,2.775044,0.247468,0.795117
0.458006,0.422326,0.103933,0.159136,2.774838,0.240090,0.795851
0.466257,0.421954,0.103306,0.159200,2.774453,0.235407,0.797290
0.470192,0.421598,0.102698,0.159314,2.768273,0.244426,0.796471
0.473498,0.421247,0.102015,0.159445,2.762153,0.251497,0.798340
0.480292,0.420841,0.101473,0.159450,2.761694,0.250499,0.804072
0.483307,0.420500,0.101168,0.159541,2.759005,0.258283,0.802796
0.492183,0.420055,0.100667,0.159609,2.758849,0.255748,0.801444
0.494344,0.419488,0.099880,0.159775,2.758113,0.251216,0.799868
0.511861,0.418840,0.099083,0.159989,2.757090,0.246829,0.797878
0.522226,0.418377,0.098111,0.160187,2.749347,0.248718,0.798594
0.526525,0.417925,0.097167,0.160380,2.740700,0.250611,0.798572
0.530418,0.417546,0.096536,0.160575,2.737074,0.248703,0.799616
0.533265,0.417254,0.096349,0.160592,2.736524,0.247044,0.800550
0.540360,0.416872,0.096231,0.160623,2.740767,0.237840,0.796878
0.542930,0.416401,0.095998,0.160766,2.742575,0.233821,0.798572
0.553432,0.415890,0.095765,0.160920,2.744603,0.229554,0.799068
0.563959,0.415412,0.095364,0.161030,2.745798,0.225019,0.801442
0.569242,0.414954,0.094885,0.161116,2.741659,0.225338,0.804190
0.575538,0.414620,0.094403,0.161131,2.736604,0.228839,0.808325
0.578972,0.414252,0.094222,0.161067,2.740142,0.221276,0.804480
0.582179,0.413878,0.094032,0.161024,2.741588,0.216989,0.804733
0.584934,0.413514,0.093907,0.161008,2.743396,0.214701,0.803895
0.588842,0.412913,0.093819,0.160953,2.750337,0.206730,0.795708
0.591462,0.412353,0.093713,0.160965,2.752626,0.205024,0.788628
0.595024,0.411899,0.093514,0.160999,2.752526,0.206709,0.787232
0.598482,0.411563,0.093433,0.161068,2.754813,0.204150,0.780819
0.601954,0.411234,0.093559,0.161217,2.757619,0.198680,0.778034
0.605267,0.411201,0.093690,0.161466,2.759795,0.193109,0.781517
0.608585,0.411132,0.093764,0.161667,2.763266,0.188623,0.782460
0.612271,0.411091,0.093912,0.161904,2.766980,0.179234,0.785080
0.615440,0.410970,0.093913,0.162159,2.769142,0.170085,0.788248
0.618825,0.410801,0.093488,0.162278,2.764098,0.174346,0.787191
0.622364,0.410581,0.093031,0.162350,2.761011,0.179662,0.784717
0.625581,0.410390,0.092640,0.162379,2.757580,0.182690,0.786280
0.628460,0.410199,0.092302,0.162407,2.754550,0.188596,0.785058
0.632011,0.409988,0.092215,0.162377,2.756508,0.188373,0.785691
0.635688,0.409773,0.092369,0.162369,2.762910,0.178734,0.786365
0.639096,0.409413,0.092477,0.162366,2.766456,0.172636,0.785087
0.642473,0.409081,0.092521,0.162343,2.769165,0.168450,0.784094
0.645658,0.408749,0.092533,0.162338,2.770620,0.166899,0.782429
0.648866,0.408449,0.092296,0.162323,2.768634,0.172024,0.777679
0.651818,0.408153,0.092045,0.162338,2.765626,0.178492,0.774486
0.655332,0.408036,0.091856,0.162433,2.762508,0.181960,0.774843
0.658316,0.407930,0.091768,0.162538,2.762223,0.182064,0.773535
0.661959,0.407819,0.091745,0.162621,2.762761,0.180334,0.774488
0.665417,0.407720,0.091760,0.162680,2.762533,0.179387,0.778720
