t_sec,x_m,y_m,z_m,rx_rad,ry_rad,rz_rad
2.775293,0.314366,-0.069193,0.245956,0.734723,-0.647061,2.063943
2.778311,0.314614,-0.068914,0.244435,0.757088,-0.659098,2.059188
2.782744,0.314750,-0.068819,0.243640,0.759769,-0.659036,2.057842
2.784832,0.314892,-0.068812,0.242991,0.764539,-0.658812,2.055356
2.789089,0.315372,-0.069806,0.243195,0.745562,-0.646932,2.054717
2.791199,0.315787,-0.070676,0.243614,0.728459,-0.639899,2.058013
2.794923,0.316052,-0.070886,0.243258,0.721815,-0.640401,2.056584
2.797945,0.316335,-0.070902,0.242685,0.724488,-0.642099,2.051658
2.801589,0.316596,-0.070983,0.242074,0.715173,-0.640834,2.052888
2.804848,0.316718,-0.071069,0.241660,0.718465,-0.641414,2.051684
2.807879,0.316924,-0.071390,0.241182,0.720410,-0.633378,2.049908
2.811299,0.317162,-0.072460,0.241789,0.704485,-0.616047,2.050092
2.814629,0.317375,-0.073787,0.242582,0.695692,-0.610843,2.049660
2.817986,0.317386,-0.074171,0.242202,0.667811,-0.594082,2.049660
2.821788,0.317291,-0.073430,0.240521,0.684139,-0.604844,2.043587
2.824801,0.317164,-0.072402,0.238779,0.706978,-0.625710,2.037912
2.828418,0.317162,-0.071549,0.237040,0.727235,-0.637947,2.033772
2.831402,0.317444,-0.071419,0.236125,0.715472,-0.635384,2.036423
2.835247,0.318037,-0.072216,0.236519,0.720155,-0.634122,2.034269
2.837840,0.318644,-0.073151,0.237240,0.697407,-0.625362,2.038718
2.841463,0.319263,-0.074101,0.237990,0.673764,-0.612410,2.041144
2.844635,0.319805,-0.075004,0.238537,0.652402,-0.604852,2.044113
2.847923,0.320110,-0.075080,0.238196,0.671435,-0.608136,2.039732
2.854505,0.319589,-0.073409,0.234566,0.698413,-0.626638,2.034896
2.858325,0.319283,-0.072393,0.232514,0.708680,-0.629805,2.031545
2.861860,0.319049,-0.070542,0.230032,0.752516,-0.652410,2.025587
2.865211,0.318757,-0.068750,0.227692,0.800374,-0.680525,2.012404
2.868125,0.319127,-0.068473,0.226842,0.802624,-0.687889,2.009350
2.871650,0.319496,-0.068196,0.225992,0.801820,-0.690461,2.008544
2.875257,0.319833,-0.068139,0.225466,0.846138,-0.718879,1.996183
2.878366,0.320447,-0.068965,0.225434,0.821839,-0.710743,1.993991
2.882015,0.321061,-0.069791,0.225401,0.800333,-0.706454,1.999129
2.884574,0.321467,-0.069869,0.225089,0.803314,-0.718235,1.998344
2.888294,0.321876,-0.069858,0.224623,0.815109,-0.730655,1.992864
2.895306,0.322075,-0.069068,0.222860,0.801314,-0.730358,1.997762
2.898571,0.322200,-0.068429,0.221754,0.822930,-0.749514,1.997245
2.901736,0.322318,-0.067945,0.220764,0.836830,-0.759971,1.993085
2.905154,0.322637,-0.067544,0.219867,0.841983,-0.768473,1.992006
2.908350,0.323196,-0.067277,0.219166,0.842850,-0.779512,1.992556
2.914808,0.323855,-0.067170,0.218127,0.843332,-0.784276,1.990711
2.918253,0.324508,-0.068180,0.218443,0.800712,-0.762123,1.996698
2.921736,0.324958,-0.069194,0.218822,0.773516,-0.750797,1.999662
2.925234,0.325392,-0.070185,0.219274,0.755069,-0.735600,2.001526
2.928493,0.326026,-0.071221,0.219904,0.727518,-0.718865,2.005974
2.932168,0.326899,-0.071785,0.220324,0.706811,-0.710617,2.011257
2.934940,0.327418,-0.071260,0.220005,0.723892,-0.727922,2.010899
2.938114,0.327984,-0.071028,0.219581,0.728844,-0.729500,2.013156
2.945625,0.328922,-0.071145,0.219503,0.716914,-0.727275,2.017173
2.963001,0.329640,-0.071333,0.219454,0.713418,-0.724267,2.019334
2.975325,0.329953,-0.072192,0.219463,0.703090,-0.711040,2.018432
2.977771,0.330054,-0.073210,0.219333,0.700906,-0.693884,2.012768
2.982052,0.329952,-0.073828,0.219121,0.693669,-0.689472,2.007295
2.987932,0.329869,-0.073935,0.218199,0.722875,-0.700742,2.000632
2.991192,0.330022,-0.074046,0.217368,0.733849,-0.698374,1.997287
3.002088,0.330240,-0.074723,0.217540,0.735378,-0.668880,2.000431
3.023822,0.330632,-0.075236,0.217852,0.737759,-0.669540,1.998195
3.027575,0.331248,-0.075377,0.217664,0.749107,-0.668780,1.998347
3.047487,0.331684,-0.076022,0.217397,0.730884,-0.653167,1.997530
3.052141,0.331804,-0.076116,0.216525,0.722351,-0.644161,1.993106
3.061059,0.331861,-0.076192,0.215635,0.715910,-0.672283,1.982875
3.070163,0.332102,-0.076501,0.215012,0.722365,-0.679247,1.982630
3.073704,0.332268,-0.076887,0.214576,0.717638,-0.679172,1.979914
3.079915,0.332418,-0.077100,0.214207,0.715549,-0.686258,1.978750
3.084106,0.332718,-0.076795,0.213559,0.719246,-0.703088,1.977098
3.087372,0.333109,-0.076457,0.212873,0.731221,-0.712725,1.977740
3.090703,0.333247,-0.076361,0.212542,0.730052,-0.721557,1.972056
3.094211,0.333345,-0.076307,0.212312,0.731677,-0.726661,1.971688
3.097106,0.333468,-0.076245,0.212096,0.736836,-0.726525,1.969833
3.100390,0.333969,-0.076236,0.211911,0.740064,-0.730962,1.972683
3.104239,0.334448,-0.076277,0.211783,0.740281,-0.726754,1.977542
3.107270,0.334844,-0.076455,0.211864,0.750786,-0.699698,1.990897
3.110125,0.335223,-0.076704,0.211945,0.737757,-0.701620,1.994744
3.117222,0.336003,-0.077287,0.212121,0.726078,-0.705393,1.998840
3.124320,0.336556,-0.077674,0.212099,0.723333,-0.695154,2.001081
3.127537,0.336961,-0.077760,0.212032,0.721632,-0.691914,2.001042
3.144170,0.336745,-0.080711,0.214249,0.785172,-0.634330,2.007268
3.150676,0.336810,-0.079630,0.213186,0.756701,-0.618204,2.009324
3.154016,0.337060,-0.078347,0.211845,0.755867,-0.642173,2.003942
3.156622,0.337326,-0.077378,0.210824,0.769590,-0.674951,1.996760
3.160155,0.337731,-0.077456,0.210611,0.744257,-0.688919,1.992175
3.164006,0.338147,-0.077546,0.210397,0.718582,-0.698488,1.987590
3.167135,0.338522,-0.077690,0.210178,0.733932,-0.722801,1.977640
3.176456,0.338545,-0.078713,0.210542,0.736422,-0.715049,1.974608
3.186738,0.337564,-0.078702,0.210402,0.738649,-0.712003,1.973752
3.190784,0.337670,-0.078874,0.210590,0.740702,-0.696148,1.976534
3.193240,0.337837,-0.079314,0.210903,0.734865,-0.682133,1.976279
3.197047,0.338104,-0.079782,0.211246,0.709495,-0.674238,1.982265
3.200016,0.338489,-0.080355,0.211719,0.695382,-0.667474,1.985008
3.204319,0.338812,-0.081037,0.212306,0.669004,-0.647296,1.987132
3.206903,0.338815,-0.081511,0.212631,0.656200,-0.644021,1.985967
