t_sec,x_m,y_m,z_m,rx_rad,ry_rad,rz_rad
0.003087,0.395562,0.105272,0.157082,2.789714,0.174868,1.085738
0.006391,0.395723,0.105261,0.157186,2.789767,0.176189,1.085135
0.009773,0.395840,0.105288,0.157271,2.788980,0.177301,1.090291
0.013140,0.395999,0.105344,0.157407,2.788941,0.176732,1.094009
0.016219,0.396112,0.105365,0.157482,2.787104,0.180441,1.095498
0.019575,0.396226,0.105388,0.157660,2.787603,0.179904,1.098237
0.022944,0.396192,0.105454,0.157736,2.787527,0.179333,1.101168
0.026329,0.396134,0.105478,0.157793,2.789688,0.178004,1.093290
0.029739,0.395941,0.105399,0.157739,2.790790,0.177300,1.092313
0.032817,0.395879,0.105364,0.157757,2.790034,0.177917,1.092412
0.039788,0.395943,0.105250,0.157803,2.788090,0.180000,1.092513
0.042877,0.396007,0.105136,0.157849,2.786756,0.179531,1.094595
0.046034,0.396085,0.105100,0.157932,2.784981,0.180298,1.097672
0.049547,0.396303,0.105140,0.158139,2.782669,0.182807,1.101047
0.052911,0.396398,0.105161,0.158264,2.780735,0.182244,1.106308
0.056260,0.396400,0.105247,0.158321,2.781370,0.180870,1.106786
0.059565,0.396402,0.105333,0.158378,2.781856,0.180949,1.107749
0.062779,0.396368,0.105328,0.158361,2.780449,0.179972,1.112461
0.066374,0.396360,0.105316,0.158318,2.782843,0.177013,1.107424
0.069540,0.396378,0.105278,0.158273,2.781679,0.179493,1.108146
0.073035,0.396410,0.105215,0.158234,2.780867,0.179350,1.107783
0.076306,0.396273,0.105088,0.158073,2.780639,0.179564,1.102734
0.079787,0.396160,0.104983,0.157944,2.781001,0.179784,1.096842
0.083218,0.396018,0.104912,0.157831,2.778816,0.179815,1.100751
0.086100,0.395835,0.104847,0.157712,2.781424,0.176462,1.095636
0.089389,0.395652,0.104783,0.157594,2.784151,0.173150,1.089452
0.092833,0.395636,0.104788,0.157599,2.784292,0.171720,1.092368
0.096379,0.395645,0.104790,0.157606,2.786237,0.169239,1.093512
0.099773,0.395654,0.104793,0.157614,2.788658,0.165687,1.089952
0.103070,0.395827,0.104887,0.157762,2.788931,0.163555,1.092416
0.106363,0.396000,0.104980,0.157909,2.788913,0.161825,1.099289
0.109800,0.396213,0.105087,0.158006,2.791077,0.158558,1.098437
0.126963,0.396366,0.105143,0.158064,2.790880,0.157697,1.100414
0.129492,0.396525,0.105196,0.158127,2.791546,0.157591,1.098735
