t_sec,wall_time,trial_time,action,command,status,message
62.491148,1787212264.744115,3.855747,two_open_b,@ROG<5>&,ok,source=10.12.194.1:51145; rpi_wall=1785037539.0631678; rpi_monotonic=384.293575842
62.694442,1787212264.947408,4.059040,thumb_out,@ROG<12>&,ok,source=10.12.194.1:38602; rpi_wall=1785037539.268326; rpi_monotonic=384.498734279
63.863035,1787212266.116002,5.227634,two_grasp_b,@ROG<4>&,ok,source=10.12.194.1:46871; rpi_wall=1785037540.4369745; rpi_monotonic=385.667383706
64.179742,1787212266.432709,5.544341,two_open_b,@ROG<5>&,ok,source=10.12.194.1:51788; rpi_wall=1785037540.7439756; rpi_monotonic=385.97438407
68.087022,1787212270.339988,9.451621,two_grasp_b,@ROG<4>&,ok,source=10.12.194.1:44367; rpi_wall=1785037544.6514518; rpi_monotonic=389.881860944
68.942650,1787212271.195617,10.307249,two_open_b,@ROG<5>&,ok,source=10.12.194.1:35224; rpi_wall=1785037545.516468; rpi_monotonic=390.746876725
69.502811,1787212271.755778,10.867410,two_grasp_b,@ROG<4>&,ok,source=10.12.194.1:33965; rpi_wall=1785037546.0766265; rpi_monotonic=391.307035631
71.991146,1787212274.244113,13.355745,thumb_in,@ROG<11>&,ok,source=10.12.194.1:49449; rpi_wall=1785037548.5645542; rpi_monotonic=393.794962817
