t_sec,shoulder_joint,upperArm_joint,foreArm_joint,wrist1_joint,wrist2_joint,wrist3_joint,hand_gesture_id,hand_rog,hand_pose_name
1.261831,-0.054512352,-1.026085410,1.919970090,-2.521867404,2.034682244,1.628138144,2,1,five_open
1.286073,-0.054239862,-1.027113219,1.920803576,-2.521296288,2.033775836,1.627535203,2,1,five_open
1.310316,-0.053967372,-1.028141028,1.921637062,-2.520725171,2.032869429,1.626932262,2,1,five_open
1.334558,-0.053694882,-1.029168837,1.922470548,-2.520154055,2.031963022,1.626329321,2,1,five_open
1.358801,-0.053422392,-1.030196646,1.923304034,-2.519582939,2.031056614,1.625726380,2,1,five_open
1.383043,-0.053149902,-1.031224454,1.924137519,-2.519011822,2.030150207,1.625123439,2,1,five_open
1.407286,-0.052877412,-1.032252263,1.924971005,-2.518440706,2.029243800,1.624520498,2,1,five_open
1.431528,-0.052604922,-1.033280072,1.925804491,-2.517869589,2.028337392,1.623917557,2,1,five_open
1.455770,-0.052472118,-1.033780996,1.926210708,-2.517591244,2.027895636,1.623623701,2,1,five_open
1.480013,-0.052472118,-1.033780996,1.926210708,-2.517591244,2.027895636,1.623623701,2,1,five_open
1.504255,-0.052472118,-1.033780996,1.926210708,-2.517591244,2.027895636,1.623623701,2,1,five_open
1.528498,-0.052472118,-1.033780996,1.926210708,-2.517591244,2.027895636,1.623623701,2,1,five_open
1.552740,-0.052472118,-1.033780996,1.926210708,-2.517591244,2.027895636,1.623623701,2,1,five_open
1.576983,-0.052472118,-1.033780996,1.926210708,-2.517591244,2.027895636,1.623623701,2,1,five_open
1.601225,-0.052472118,-1.033780996,1.926210708,-2.517591244,2.027895636,1.623623701,2,1,five_open
1.625467,-0.052472118,-1.033780996,1.926210708,-2.517591244,2.027895636,1.623623701,2,1,five_open
1.649710,-0.052472118,-1.033780996,1.926210708,-2.517591244,2.027895636,1.623623701,2,1,five_open
1.673952,-0.052472118,-1.033780996,1.926210708,-2.517591244,2.027895636,1.623623701,2,1,five_open
1.698195,-0.052472118,-1.033780996,1.926210708,-2.517591244,2.027895636,1.623623701,2,1,five_open
1.722437,-0.052472118,-1.033780996,1.926210708,-2.517591244,2.027895636,1.623623701,2,1,five_open
1.746680,-0.052472118,-1.033780996,1.926210708,-2.517591244,2.027895636,1.623623701,2,1,five_open
1.770922,-0.052897011,-1.034572332,1.926918275,-2.516986174,2.028260422,1.623371898,2,1,five_open
1.795164,-0.053321905,-1.035363667,1.927625841,-2.516381103,2.028625208,1.623120095,2,1,five_open
1.819407,-0.053746798,-1.036155003,1.928333408,-2.515776033,2.028989993,1.622868292,2,1,five_open
1.843649,-0.054171691,-1.036946339,1.929040974,-2.515170962,2.029354779,1.622616489,2,1,five_open
1.867892,-0.054596584,-1.037737674,1.929748541,-2.514565892,2.029719565,1.622364686,2,1,five_open
1.892134,-0.055021478,-1.038529010,1.930456107,-2.513960822,2.030084351,1.622112883,2,1,five_open
1.916377,-0.055446371,-1.039320346,1.931163674,-2.513355751,2.030449137,1.621861080,2,1,five_open
1.940619,-0.055871264,-1.040111682,1.931871240,-2.512750681,2.030813922,1.621609277,2,1,five_open
1.964861,-0.056296158,-1.040903017,1.932578807,-2.512145610,2.031178708,1.621357474,2,1,five_open
1.989104,-0.056721051,-1.041694353,1.933286373,-2.511540540,2.031543494,1.621105671,2,1,five_open
2.013346,-0.056721051,-1.041694353,1.933286373,-2.511540540,2.031543494,1.621105671,2,1,five_open
2.037589,-0.056721051,-1.041694353,1.933286373,-2.511540540,2.031543494,1.621105671,2,1,five_open
2.061831,-0.056721051,-1.041694353,1.933286373,-2.511540540,2.031543494,1.621105671,2,1,five_open
2.086073,-0.056721051,-1.041694353,1.933286373,-2.511540540,2.031543494,1.621105671,2,1,five_open
2.110316,-0.056721051,-1.041694353,1.933286373,-2.511540540,2.031543494,1.621105671,2,1,five_open
2.134558,-0.056721051,-1.041694353,1.933286373,-2.511540540,2.031543494,1.621105671,2,1,five_open
2.158801,-0.056721051,-1.041694353,1.933286373,-2.511540540,2.031543494,1.621105671,2,1,five_open
2.183043,-0.056721051,-1.041694353,1.933286373,-2.511540540,2.031543494,1.621105671,2,1,five_open
2.207286,-0.056716337,-1.041723309,1.933277005,-2.511500502,2.031508874,1.621115324,2,1,five_open
2.231528,-0.056593033,-1.042480709,1.933031965,-2.510453224,2.030603301,1.621367832,2,1,five_open
2.255770,-0.056373656,-1.043828242,1.932596002,-2.508589954,2.028992149,1.621817081,2,1,five_open
2.280013,-0.056154278,-1.045175774,1.932160038,-2.506726685,2.027380996,1.622266331,2,1,five_open
2.304255,-0.055934901,-1.046523306,1.931724075,-2.504863415,2.025769844,1.622715580,2,1,five_open
2.328498,-0.055715524,-1.047870838,1.931288112,-2.503000146,2.024158692,1.623164830,2,1,five_open
2.352740,-0.055496147,-1.049218370,1.930852148,-2.501136877,2.022547539,1.623614079,2,1,five_open
2.376983,-0.055276770,-1.050565903,1.930416185,-2.499273607,2.020936387,1.624063329,2,1,five_open
2.401225,-0.055057392,-1.051913435,1.929980221,-2.497410338,2.019325234,1.624512578,2,1,five_open
2.425467,-0.054838015,-1.053260967,1.929544258,-2.495547068,2.017714082,1.624961828,2,1,five_open
2.449710,-0.054623352,-1.054579543,1.929117663,-2.493723837,2.016137550,1.625401424,2,1,five_open
2.473952,-0.054527279,-1.055169675,1.928926739,-2.492907846,2.015431970,1.625598166,2,1,five_open
2.498195,-0.054527279,-1.055169675,1.928926739,-2.492907846,2.015431970,1.625598166,2,1,five_open
2.522437,-0.054527279,-1.055169675,1.928926739,-2.492907846,2.015431970,1.625598166,2,1,five_open
2.546680,-0.054527279,-1.055169675,1.928926739,-2.492907846,2.015431970,1.625598166,2,1,five_open
2.570922,-0.054527279,-1.055169675,1.928926739,-2.492907846,2.015431970,1.625598166,2,1,five_open
2.595164,-0.054527279,-1.055169675,1.928926739,-2.492907846,2.015431970,1.625598166,2,1,five_open
2.619407,-0.054527279,-1.055169675,1.928926739,-2.492907846,2.015431970,1.625598166,2,1,five_open
2.643649,-0.054527279,-1.055169675,1.928926739,-2.492907846,2.015431970,1.625598166,2,1,five_open
2.667892,-0.054527279,-1.055169675,1.928926739,-2.492907846,2.015431970,1.625598166,2,1,five_open
2.692134,-0.054527279,-1.055169675,1.928926739,-2.492907846,2.015431970,1.625598166,2,1,five_open
2.716377,-0.054478256,-1.055198115,1.929066455,-2.492831388,2.015334026,1.625484087,2,1,five_open
2.740619,-0.053900258,-1.055533430,1.930713754,-2.491929923,2.014179230,1.624139058,2,1,five_open
2.764861,-0.053322261,-1.055868745,1.932361054,-2.491028457,2.013024435,1.622794029,2,1,five_open
2.789104,-0.052744263,-1.056204060,1.934008354,-2.490126991,2.011869639,1.621449000,2,1,five_open
2.813346,-0.052166265,-1.056539375,1.935655653,-2.489225526,2.010714843,1.620103971,2,1,five_open
2.837589,-0.051588268,-1.056874690,1.937302953,-2.488324060,2.009560048,1.618758941,2,1,five_open
2.861831,-0.051010270,-1.057210005,1.938950253,-2.487422595,2.008405252,1.617413912,2,1,five_open
2.886073,-0.050432272,-1.057545320,1.940597552,-2.486521129,2.007250456,1.616068883,2,1,five_open
2.910316,-0.049854275,-1.057880636,1.942244852,-2.485619663,2.006095660,1.614723854,2,1,five_open
2.934558,-0.049276277,-1.058215951,1.943892152,-2.484718198,2.004940865,1.613378825,2,1,five_open
2.958801,-0.048747302,-1.058522826,1.945399736,-2.483893190,2.003884013,1.612147874,2,1,five_open
2.983043,-0.048747302,-1.058522826,1.945399736,-2.483893190,2.003884013,1.612147874,2,1,five_open
3.007286,-0.048747302,-1.058522826,1.945399736,-2.483893190,2.003884013,1.612147874,2,1,five_open
3.031528,-0.048747302,-1.058522826,1.945399736,-2.483893190,2.003884013,1.612147874,2,1,five_open
3.055770,-0.048747302,-1.058522826,1.945399736,-2.483893190,2.003884013,1.612147874,2,1,five_open
3.080013,-0.048747302,-1.058522826,1.945399736,-2.483893190,2.003884013,1.612147874,2,1,five_open
3.104255,-0.048747302,-1.058522826,1.945399736,-2.483893190,2.003884013,1.612147874,2,1,five_open
3.128498,-0.048747302,-1.058522826,1.945399736,-2.483893190,2.003884013,1.612147874,2,1,five_open
3.152740,-0.048747302,-1.058522826,1.945399736,-2.483893190,2.003884013,1.612147874,2,1,five_open
3.176983,-0.048692795,-1.058542537,1.945452934,-2.483819081,2.003877047,1.612129445,2,1,five_open
3.201225,-0.048086321,-1.058761853,1.946044847,-2.482994502,2.003799545,1.611924396,2,1,five_open
3.225467,-0.047156048,-1.059098261,1.946952784,-2.481729678,2.003680664,1.611609871,2,1,five_open
3.249710,-0.046225776,-1.059434670,1.947860721,-2.480464854,2.003561783,1.611295347,2,1,five_open
3.273952,-0.045295503,-1.059771078,1.948768658,-2.479200030,2.003442902,1.610980822,2,1,five_open
3.298195,-0.044365231,-1.060107487,1.949676594,-2.477935207,2.003324021,1.610666297,2,1,five_open
3.322437,-0.043434958,-1.060443896,1.950584531,-2.476670383,2.003205140,1.610351772,2,1,five_open
3.346680,-0.042504686,-1.060780304,1.951492468,-2.475405559,2.003086258,1.610037247,2,1,five_open
3.370922,-0.041574413,-1.061116713,1.952400405,-2.474140735,2.002967377,1.609722722,2,1,five_open
3.395164,-0.040644141,-1.061453121,1.953308342,-2.472875911,2.002848496,1.609408197,2,1,five_open
3.419407,-0.039768375,-1.061769819,1.954163080,-2.471685197,2.002736581,1.609112101,2,1,five_open
3.443649,-0.039444577,-1.061886912,1.954479104,-2.471244952,2.002695202,1.609002625,2,1,five_open
