trial_id,frame_index,t_sec,stage,hand_target_x_m,hand_target_y_m,hand_target_z_m,pick_x_m,pick_y_m,pick_z_m,place_x_m,place_y_m,place_z_m,object_x_m,object_y_m,object_z_m,wall_time
1,30,0.9999999999999999,lift,0.05,0.0,-0.875,0.0,0.0,-0.9,0.2,0.0,-0.9,0.0,0.0,-0.9999999999999999,0.21079611778259277
1,31,1.0333333333333332,lift,0.05833333333333334,0.0,-0.8708333333333333,0.0,0.0,-0.9,0.2,0.0,-0.9,0.0,0.0,-0.9999999999999999,0.21833157539367676
1,32,1.0666666666666667,lift,0.06666666666666667,0.0,-0.8666666666666667,0.0,0.0,-0.9,0.2,0.0,-0.9,0.0,0.0,-0.9999999999999999,0.22516512870788574
1,33,1.1,lift,0.07500000000000001,0.0,-0.8625,0.0,0.0,-0.9,0.2,0.0,-0.9,0.0,0.0,-0.9999999999999999,0.2338123321533203
1,34,1.1333333333333335,lift,0.08333333333333334,0.0,-0.8583333333333333,0.0,0.0,-0.9,0.2,0.0,-0.9,0.0,0.0,-0.9999999999999999,0.24286127090454102
1,35,1.166666666666667,lift,0.09166666666666667,0.0,-0.8541666666666667,0.0,0.0,-0.9,0.2,0.0,-0.9,0.0,0.0,-0.9999999999999999,0.25180530548095703
1,36,1.2000000000000004,lift,0.1,0.0,-0.8500000000000001,0.0,0.0,-0.9,0.2,0.0,-0.9,0.0,0.0,-0.9999999999999999,0.2591896057128906
1,37,1.2333333333333338,lift,0.10833333333333334,0.0,-0.8458333333333334,0.0,0.0,-0.9,0.2,0.0,-0.9,0.0,0.0,-0.9999999999999999,0.2670154571533203
1,38,1.2666666666666673,lift,0.11666666666666668,0.0,-0.8416666666666668,0.0,0.0,-0.9,0.2,0.0,-0.9,0.0,0.0,-0.9999999999999999,0.2726130485534668
1,39,1.3000000000000007,lift,0.125,0.0,-0.8375,0.0,0.0,-0.9,0.2,0.0,-0.9,0.0,0.0,-0.9999999999999999,0.27819252014160156
