t_sec,wall_time,trial_time,action,command,status,message
38.988794,1787212241.241760,3.041929,two_open_b,@ROG<5>&,ok,source=10.12.194.1:56126; rpi_wall=1785037515.5615416; rpi_monotonic=360.791949601
39.959027,1787212242.211994,4.012163,two_grasp_b,@ROG<4>&,ok,source=10.12.194.1:52520; rpi_wall=1785037516.5274131; rpi_monotonic=361.757821579
40.310305,1787212242.563272,4.363441,two_open_b,@ROG<5>&,ok,source=10.12.194.1:60813; rpi_wall=1785037516.8847237; rpi_monotonic=362.115131527
46.044623,1787212248.297590,10.097759,two_grasp_b,@ROG<4>&,ok,source=10.12.194.1:37535; rpi_wall=1785037522.6187978; rpi_monotonic=367.849206681
47.060965,1787212249.313932,11.114101,two_open_b,@ROG<5>&,ok,source=10.12.194.1:39523; rpi_wall=1785037523.6356447; rpi_monotonic=368.866052723
47.520459,1787212249.773425,11.573594,two_grasp_b,@ROG<4>&,ok,source=10.12.194.1:53005; rpi_wall=1785037524.094435; rpi_monotonic=369.32484392
