t_sec,x_m,y_m,z_m,rx_rad,ry_rad,rz_rad
0.358499,0.433510,0.109229,0.159166,2.753260,0.362539,0.792228
0.361919,0.433441,0.108930,0.159160,2.751171,0.361147,0.788507
0.365250,0.433329,0.108661,0.159239,2.752717,0.353373,0.789090
0.375680,0.432901,0.107887,0.159319,2.758071,0.336405,0.793233
0.378874,0.432642,0.107616,0.159287,2.758098,0.334989,0.791539
0.382335,0.432412,0.107348,0.159192,2.755587,0.334781,0.790177
0.385365,0.432200,0.107048,0.159117,2.755817,0.331018,0.792424
0.395177,0.431684,0.105781,0.159040,2.752297,0.333258,0.789790
0.398915,0.431496,0.105344,0.159107,2.748283,0.334793,0.786642
0.402099,0.431272,0.104998,0.159171,2.744500,0.332951,0.785476
0.405395,0.431007,0.104661,0.159261,2.746510,0.323937,0.785198
0.408776,0.430774,0.104337,0.159330,2.746718,0.318504,0.783503
0.411913,0.430612,0.104117,0.159422,2.748639,0.312743,0.784424
0.414998,0.430500,0.103925,0.159450,2.750979,0.307502,0.784858
0.418724,0.430364,0.103634,0.159466,2.753390,0.302610,0.785814
0.421773,0.430229,0.103354,0.159551,2.752672,0.303586,0.784547
0.424998,0.430051,0.103093,0.159572,2.755329,0.296435,0.785132
0.428950,0.429848,0.102816,0.159655,2.755629,0.295691,0.783357
0.431941,0.429636,0.102496,0.159709,2.757801,0.289693,0.782705
0.435211,0.429433,0.102308,0.159881,2.756342,0.290244,0.781873
0.438434,0.429217,0.102066,0.159914,2.761164,0.276920,0.784667
0.447430,0.429007,0.101856,0.160001,2.762521,0.270253,0.786335
0.455769,0.428685,0.101486,0.160070,2.762374,0.263835,0.782829
0.458006,0.428299,0.100973,0.160094,2.762898,0.255592,0.785147
0.466257,0.427928,0.100385,0.160097,2.763098,0.250730,0.787021
0.470192,0.427574,0.099788,0.160223,2.757102,0.259312,0.786155
0.473498,0.427224,0.099113,0.160365,2.751092,0.266014,0.787950
0.480292,0.426832,0.098570,0.160408,2.750034,0.265754,0.792460
0.483307,0.426459,0.098212,0.160533,2.747885,0.272317,0.790377
0.492183,0.426011,0.097713,0.160600,2.747729,0.269814,0.788986
0.494344,0.425424,0.096871,0.160808,2.746311,0.265782,0.787790
0.511861,0.424769,0.096021,0.161069,2.744667,0.261829,0.786222
0.522226,0.424281,0.095029,0.161291,2.737093,0.263433,0.786985
0.526525,0.423840,0.094088,0.161526,2.727969,0.265418,0.787434
0.530418,0.423458,0.093401,0.161768,2.723717,0.263900,0.788896
0.533265,0.423159,0.093209,0.161785,2.723253,0.262153,0.788826
0.540360,0.422749,0.093078,0.161827,2.726392,0.255801,0.784601
0.542930,0.422258,0.092838,0.161961,2.728363,0.251692,0.785296
0.553432,0.421744,0.092597,0.162105,2.730318,0.247605,0.785773
0.563959,0.421251,0.092207,0.162223,2.731707,0.242950,0.787153
0.569242,0.420790,0.091739,0.162309,2.727676,0.243081,0.790034
