t_sec,x_m,y_m,z_m,qw,qx,qy,qz,rx,ry,rz,hand_gesture_id,hand_rog,hand_pose_name
0.946680,0.327719,-0.061664,0.133658,-0.084790326,0.362118052,0.189595943,0.908699343,-1.080034780,-0.565479162,-2.710240181,,,
0.970922,0.327608,-0.061626,0.133422,-0.084901050,0.362268317,0.189651673,0.908617478,-1.080412371,-0.565608428,-2.709818988,,,
0.995164,0.327493,-0.061589,0.133187,-0.085027098,0.362470858,0.189744617,0.908505504,-1.080936039,-0.565843542,-2.709283572,,,
1.019407,0.327379,-0.061553,0.132954,-0.085165729,0.362679958,0.189857685,0.908385439,-1.081471164,-0.566134431,-2.708704014,,,
1.043649,0.327264,-0.061518,0.132724,-0.085308500,0.362895132,0.189983585,0.908259776,-1.082021672,-0.566462150,-2.708101256,,,
1.067892,0.327147,-0.061485,0.132492,-0.085451654,0.363132693,0.190120257,0.908122762,-1.082638592,-0.566821802,-2.707464152,,,
1.092134,0.327030,-0.061456,0.132265,-0.085604172,0.363356133,0.190253774,0.907991051,-1.083207334,-0.567168858,-2.706828031,,,
1.116377,0.326915,-0.061430,0.132043,-0.085756389,0.363544588,0.190368047,0.907877294,-1.083671884,-0.567458593,-2.706246034,,,
1.140619,0.326802,-0.061406,0.131831,-0.085893303,0.363725861,0.190492199,0.907765697,-1.084124731,-0.567782843,-2.705694994,,,
1.164861,0.326690,-0.061389,0.131625,-0.085997462,0.363898028,0.190603854,0.907663392,-1.084571305,-0.568080765,-2.705223971,,,
1.189104,0.326580,-0.061377,0.131420,-0.086095623,0.364039904,0.190812951,0.907553255,-1.084931384,-0.568671063,-2.704739230,,,
1.213346,0.326471,-0.061372,0.131217,-0.086187013,0.364147175,0.191125470,0.907435777,-1.085192632,-0.569571771,-2.704243464,,,
1.237589,0.326366,-0.061375,0.131019,-0.086269140,0.364193901,0.191585084,0.907312291,-1.085279354,-0.570913835,-2.703744609,,,
1.261831,0.326266,-0.061386,0.130826,-0.086351769,0.364150326,0.192178228,0.907196473,-1.085096669,-0.572653491,-2.703267856,,,
1.286073,0.326170,-0.061399,0.130644,-0.086410034,0.364122235,0.192777993,0.907074941,-1.084975716,-0.574420953,-2.702812924,,,
1.310316,0.326071,-0.061417,0.130462,-0.086427252,0.364188515,0.193376366,0.906919311,-1.085162201,-0.576198078,-2.702321778,,,
1.334558,0.325970,-0.061433,0.130286,-0.086390324,0.364369592,0.193717758,0.906777229,-1.085725375,-0.577227875,-2.701957208,,,
1.358801,0.325866,-0.061441,0.130120,-0.086320969,0.364655856,0.193703129,0.906671878,-1.086622769,-0.577207871,-2.701753698,,,
1.383043,0.325764,-0.061451,0.129958,-0.086244205,0.364967337,0.193640863,0.906567149,-1.087600133,-0.577048428,-2.701563820,,,
1.407286,0.325665,-0.061462,0.129803,-0.086171358,0.365284196,0.193558175,0.906464112,-1.088591104,-0.576826780,-2.701372733,,,
1.431528,0.325569,-0.061473,0.129656,-0.086084911,0.365571231,0.193437455,0.906382378,-1.089502007,-0.576496391,-2.701266773,,,
1.455770,0.325476,-0.061488,0.129510,-0.085964861,0.365891988,0.193233741,0.906307794,-1.090535111,-0.575930019,-2.701235615,,,
1.480013,0.325383,-0.061508,0.129363,-0.085818646,0.366303479,0.193031426,0.906198538,-1.091855654,-0.575376609,-2.701142776,,,
